,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds
307,Poso,293.17,293.17,293.17,120.75,-1.4,1.04,82,100
308,Kununurra,301.15,301.15,301.15,128.74,-15.77,2.6,69,52
309,Marawi,295.37,295.37,295.37,124.29,8.0,3.13,89,56
310,Okha,254.77,254.77,254.77,142.95,53.59,11.51,94,100
311,Petropavlovsk-Kamchatskiy,269.15,269.15,269.15,158.65,53.05,3.0,68,100
312,Banbury,281.39,280.15,282.59,-1.34,52.06,2.6,93,75
313,Chara,278.15,278.15,278.15,22.43,39.42,6.7,65,75
314,Seguin,292.95,291.48,294.82,-97.96,29.57,8.7,83,90
315,Umm Lajj,288.32,288.32,288.32,37.27,25.02,2.79,56,0
316,Adrar,297.15,297.15,297.15,-0.29,27.87,4.1,19,100
317,Saint-Georges,274.64,273.71,275.37,-70.67,46.12,2.24,79,81
318,Marsh Harbour,296.92,296.92,296.92,-77.06,26.54,8.66,78,42
319,Borskoye,264.64,264.64,264.64,51.7,53.03,2.28,95,100
320,Hobyo,299.7,299.7,299.7,48.53,5.35,6.8,78,18
321,Manzhouli,248.79,248.79,248.79,117.43,49.6,3.6,88,100
322,Faya,286.67,286.15,287.15,42.45,18.39,2.6,87,20
323,Itarema,305.08,305.08,305.08,-39.92,-2.92,6.16,50,88
324,Dhidhdhoo,300.4,300.4,300.4,73.1,6.88,5.88,80,49
325,Mantua,277.89,275.93,279.82,10.79,45.16,1.5,75,20
326,Linxia,270.46,270.46,270.46,103.21,35.6,6.0,26,0
327,Muscat,296.15,296.15,296.15,58.55,23.6,3.1,64,0
328,Roebourne,308.29,308.29,308.29,117.15,-20.77,3.09,29,100
329,Trapani,283.41,279.82,287.04,12.54,38.02,10.3,50,40
330,Blois,279.38,278.15,280.15,1.33,47.59,3.1,81,44
331,Maldonado,296.15,296.15,296.15,-54.96,-34.91,2.1,88,75
332,Carauari,306.93,306.93,306.93,-66.9,-4.88,1.18,50,99
333,Verkhoyansk,233.89,233.89,233.89,133.39,67.55,0.99,81,0
334,Mehran,276.15,276.15,276.15,46.17,33.12,1.0,86,0
335,Golden,269.7,264.26,274.15,-105.22,39.76,6.2,74,90
336,Siocon,298.71,298.71,298.71,124.04,11.03,0.45,79,0
337,Riviere-au-Renard,271.15,271.15,271.15,-64.4,49.0,6.7,68,75
338,Ailigandi,298.65,298.65,298.65,-78.02,9.23,1.7,86,100
339,Youghal,283.24,283.15,283.71,-7.85,51.95,5.1,87,75
340,Mizan Teferi,293.31,293.31,293.31,35.58,6.99,1.77,74,48
341,Leningradskiy,247.82,247.82,247.82,178.42,69.38,0.63,87,0
342,Agdas,279.15,279.15,279.15,47.48,40.65,2.6,81,75
343,Ulaangom,250.13,250.13,250.13,92.07,49.98,0.72,99,100
344,Qaanaaq,255.55,255.55,255.55,-69.36,77.48,2.98,43,56
345,Lingao,292.64,292.64,292.64,109.69,19.91,5.65,85,18
346,Bethel,246.83,246.15,247.15,-161.76,60.79,7.7,68,1
347,Pinega,258.5,258.5,258.5,43.39,64.7,2.59,96,0
348,Nelidovo,269.69,269.69,269.69,32.78,56.22,3.68,83,100
349,South Lake Tahoe,272.38,266.15,278.71,-119.98,38.93,0.35,62,1
350,Dwarka,283.19,279.15,286.48,77.04,28.58,0.87,100,0
351,North Bend,278.4,275.37,280.37,-124.22,43.41,1.5,87,1
352,Waterloo,301.96,301.96,301.96,-13.07,8.34,3.08,56,0
353,Port Blair,299.57,299.57,299.57,92.75,11.67,5.86,81,1
354,Jalingo,295.58,295.58,295.58,10.93,10.3,3.44,23,10
355,Biak,300.95,300.95,300.95,122.88,-0.91,3.88,77,30
356,Lincoln,280.94,279.26,282.15,-0.54,53.23,8.7,93,20
357,Christchurch,282.78,281.15,284.26,172.64,-43.53,2.1,87,49
358,Rio Grande,307.03,305.93,308.15,-52.1,-32.03,6.7,59,20
359,Meulaboh,300.58,300.58,300.58,96.13,4.14,3.56,78,67
360,Karachi,288.15,288.15,288.15,67.03,24.87,2.1,44,0
361,Haicheng,272.31,272.31,272.31,122.74,40.85,4.04,89,0
