,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds,this_date
183,Hambantota,302.15,302.15,302.15,81.12,6.12,1.0,74,40,2019-12-30
184,Boa Vista,302.15,302.15,302.15,-60.67,2.82,6.2,58,20,2019-12-30
185,Gladstone,297.57,297.04,298.15,151.26,-23.84,3.1,69,43,2019-12-30
186,Nouadhibou,300.15,300.15,300.15,-17.03,20.93,5.7,24,0,2019-12-30
187,Vao,279.07,279.07,279.07,26.19,59.1,5.51,92,100,2019-12-30
188,Kutum,296.55,296.55,296.55,24.66,14.2,3.87,12,0,2019-12-30
189,Teya,294.5,294.15,294.82,-89.07,21.05,0.84,100,90,2019-12-30
190,Sacama,293.15,293.15,293.15,-79.27,-3.9,1.0,88,75,2019-12-30
191,Mehamn,273.15,273.15,273.15,27.85,71.03,11.8,79,75,2019-12-30
192,East London,297.15,297.15,297.15,27.91,-33.02,6.7,83,75,2019-12-30
193,Southbridge,274.63,272.59,276.48,-72.03,42.08,6.7,93,90,2019-12-30
194,Clemson,285.21,279.82,289.15,-82.84,34.69,4.1,93,1,2019-12-30
195,Presidencia Roque Saenz Pena,312.25,312.25,312.25,-60.44,-26.79,4.5,28,65,2019-12-30
196,Isangel,297.77,297.77,297.77,169.27,-19.55,6.29,83,32,2019-12-30
197,Kimbe,297.35,297.35,297.35,150.15,-5.56,1.09,93,54,2019-12-30
198,Shingu,288.1,288.1,288.1,135.99,33.72,3.59,92,100,2019-12-30
199,Warmbad,278.26,274.15,282.04,13.08,50.67,4.6,36,57,2019-12-30
200,Ocos,294.05,292.15,296.15,-92.19,14.51,0.49,73,91,2019-12-30
201,Mount Isa,306.15,306.15,306.15,139.49,-20.73,4.6,36,0,2019-12-30
202,Egvekinot,239.82,239.82,239.82,-179.17,66.32,5.1,91,0,2019-12-30
203,Hanzhong,278.13,278.13,278.13,107.03,33.08,0.35,52,25,2019-12-30
204,Larsnes,278.94,275.37,280.93,5.58,62.2,11.8,75,75,2019-12-30
205,Mtambile,301.72,301.72,301.72,39.7,-5.38,7.82,81,0,2019-12-30
206,Prieska,299.82,299.82,299.82,22.74,-29.67,2.51,42,35,2019-12-30
207,Meulaboh,301.4,301.4,301.4,96.13,4.14,1.98,73,94,2019-12-30
208,Freeport,297.15,297.15,297.15,-78.7,26.54,3.1,88,75,2019-12-30
209,Panjab,257.42,257.42,257.42,67.02,34.38,0.2,59,0,2019-12-30
210,Minyar,258.41,258.41,258.41,57.55,55.07,1.4,97,99,2019-12-30
211,Alamosa,246.52,244.15,249.15,-105.87,37.47,4.1,69,1,2019-12-30
212,Chuy,302.52,302.52,302.52,-53.46,-33.69,2.58,60,65,2019-12-30
213,Bud,279.06,275.37,281.15,6.91,62.91,15.4,75,75,2019-12-30
214,Albany,274.05,272.04,275.93,-73.75,42.65,7.6,89,90,2019-12-30
215,Gornyak,268.9,268.9,268.9,81.46,51.0,6.19,94,100,2019-12-30
216,Ust-Ilimsk,246.37,246.37,246.37,102.73,57.96,2.11,95,26,2019-12-30
217,Houma,268.82,268.82,268.82,111.36,35.63,0.79,16,47,2019-12-30
218,Buraydah,300.15,300.15,300.15,43.97,26.33,4.1,32,40,2019-12-30
219,Ormara,296.11,296.11,296.11,64.64,25.21,6.12,58,0,2019-12-30
220,Noumea,297.52,296.15,298.71,166.46,-22.28,3.6,83,77,2019-12-30
221,Tashtyp,258.6,258.6,258.6,89.89,52.8,0.89,95,100,2019-12-30
222,Sulangan,300.57,300.57,300.57,123.72,11.14,8.5,77,33,2019-12-30
223,Alofi,298.57,298.57,298.57,-169.92,-19.06,8.59,92,100,2019-12-30
224,Clyde River,262.15,262.15,262.15,-68.59,70.47,5.1,78,90,2019-12-30
225,Charcas,285.37,285.37,285.37,-101.11,23.13,4.0,88,100,2019-12-30
226,Victoria,301.59,300.93,302.15,115.24,5.28,2.1,88,75,2019-12-30
227,Ponta Delgada,289.15,289.15,289.15,-25.67,37.73,6.7,67,75,2019-12-30
228,Constitucion,272.07,269.15,275.37,-104.67,23.99,1.28,68,5,2019-12-30
229,Ponta do Sol,298.99,298.99,298.99,-46.0,-20.63,2.09,60,74,2019-12-30
230,Pokrovsk,236.6,236.6,236.6,129.14,61.48,0.54,98,73,2019-12-30
231,Burnie,287.26,287.26,287.26,145.91,-41.05,7.67,82,100,2019-12-30
232,Sobolevo,273.19,273.19,273.19,31.9,54.43,8.42,80,100,2019-12-30
233,Atar,301.7,301.7,301.7,-13.05,20.52,7.65,7,0,2019-12-30
234,Avera,289.11,287.59,290.37,-82.53,33.19,4.1,72,90,2019-12-30
235,Tocopilla,298.28,298.28,298.28,-70.2,-22.09,3.07,24,0,2019-12-30
236,Moron,299.87,299.87,299.87,-74.26,18.56,3.13,74,0,2019-12-30
237,Muzaffarabad,275.01,275.01,275.01,73.47,34.37,2.28,50,100,2019-12-30
238,Ketchikan,279.15,279.15,279.15,-131.65,55.34,5.1,100,90,2019-12-30
239,Rio Grande,301.15,301.15,301.15,-52.1,-32.03,2.1,69,75,2019-12-30
240,Poum,275.15,275.15,275.15,20.71,41.28,6.2,43,20,2019-12-30
241,Santa Marta,300.15,300.15,300.15,-74.21,11.24,1.0,74,68,2019-12-30
242,Coihaique,288.46,288.15,289.15,-72.07,-45.58,3.6,51,75,2019-12-30
243,Mahon,283.76,283.15,284.26,-8.4,51.89,3.1,93,75,2019-12-30
244,Narsaq,268.15,268.15,268.15,-46.05,60.91,3.1,67,75,2019-12-30
245,Tuktoyaktuk,245.72,245.72,245.72,-133.03,69.44,4.22,94,100,2019-12-30
246,Leningradskiy,244.31,244.31,244.31,178.42,69.38,9.52,92,100,2019-12-30
247,San Policarpo,300.23,300.23,300.23,125.51,12.18,6.38,80,0,2019-12-30
248,Pacifica,280.93,278.71,283.15,-122.49,37.61,3.98,81,90,2019-12-30
249,Bonfim,305.48,305.48,305.48,-59.84,3.36,6.08,45,39,2019-12-30
250,Bawku,306.99,306.99,306.99,-0.24,11.06,4.55,9,0,2019-12-30
251,Maragogi,299.49,299.49,299.49,-35.22,-9.01,6.5,77,81,2019-12-30
252,Arraial do Cabo,301.66,301.15,302.15,-42.02,-22.97,5.1,69,40,2019-12-30
253,Asosa,301.63,301.63,301.63,34.53,10.07,1.75,23,66,2019-12-30
254,Aswan,292.54,292.54,292.54,32.9,24.09,4.1,27,0,2019-12-30
255,Georgiyevskoye,276.65,276.65,276.65,39.25,44.16,2.69,89,79,2019-12-30
256,Fairbanks,259.31,259.15,259.82,-147.72,64.84,1.11,92,90,2019-12-30
257,Gorzow Wielkopolski,279.26,279.26,279.26,15.23,52.74,2.24,42,48,2019-12-30
258,Husavik,262.27,261.48,263.15,-96.99,50.56,6.0,94,97,2019-12-30
259,Coahuayana,297.08,297.08,297.08,-100.35,18.62,0.23,49,0,2019-12-30
260,Taltal,291.45,291.45,291.45,-70.49,-25.41,2.87,70,0,2019-12-30
261,Fare,300.09,300.09,300.09,-151.02,-16.7,6.38,77,100,2019-12-30
